State,District,Taluka,Village
Karnataka,Bagalkot,Badami 556054460,Adagal 054465987480
Karnataka,Bagalkot,Badami 556054460,Agasarakoppa 054465986470
Karnataka,Bagalkot,Badami 556054460,Aladakatti 054465987130
Karnataka,Bagalkot,Badami 556054460,Allur S P 054465986720
Karnataka,Bagalkot,Badami 556054460,Alur S K 054465987240
Karnataka,Bagalkot,Badami 556054460,Anantagiri 054465987690
Karnataka,Bagalkot,Badami 556054460,Anawal 054465986360
Karnataka,Bagalkot,Badami 556054460,Asangi 054465986730
Karnataka,Bagalkot,Badami 556054460,Bachinagudd 054465987410
Karnataka,Bagalkot,Badami 556054460,Badami Rural 054465987500
Karnataka,Bagalkot,Badami 556054460,Bandakeri 054465986320
Karnataka,Bagalkot,Badami 556054460,Bankaneri 054465987180
Karnataka,Bagalkot,Badami 556054460,Bedarabudihal 054465987360
Karnataka,Bagalkot,Badami 556054460,Beeranur 054465987260
Karnataka,Bagalkot,Badami 556054460,Belawalakoppa 054465987170
Karnataka,Bagalkot,Badami 556054460,Bellikindi 054465986410
Karnataka,Bagalkot,Badami 556054460,Belur 054465987660
Karnataka,Bagalkot,Badami 556054460,Bhadra Nayakan Jalihal 054465987400
Karnataka,Bagalkot,Badami 556054460,Budanagad 054465986690
Karnataka,Bagalkot,Badami 556054460,Budihal 054465987580
Karnataka,Bagalkot,Badami 556054460,Chikkamuchalagudda 054465987350
Karnataka,Bagalkot,Badami 556054460,Chikkanasabi 054465987550
Karnataka,Bagalkot,Badami 556054460,Chimmalagi 054465986930
Karnataka,Bagalkot,Badami 556054460,Chimmanakatti 054465987090
Karnataka,Bagalkot,Badami 556054460,Chinchalakatti 054465986540
Karnataka,Bagalkot,Badami 556054460,Chirlakoppa 054465987100
Karnataka,Bagalkot,Badami 556054460,Cholachagudda 054465987560
Karnataka,Bagalkot,Badami 556054460,Dhanakashirur 054465987650
Karnataka,Bagalkot,Badami 556054460,Fakeerabudihal 054465986430
Karnataka,Bagalkot,Badami 556054460,Ganganabudihal 054465986270
Karnataka,Bagalkot,Badami 556054460,Gonal 054465987430
Karnataka,Bagalkot,Badami 556054460,Govanaki 054465987460
Karnataka,Bagalkot,Badami 556054460,Govanakoppa 054465987270
Karnataka,Bagalkot,Badami 556054460,Gubberakoppa 054465986490
Karnataka,Bagalkot,Badami 556054460,Guddada Mallapur 054465987680
Karnataka,Bagalkot,Badami 556054460,Haganur 054465987230
Karnataka,Bagalkot,Badami 556054460,Haladur 054465986710
Karnataka,Bagalkot,Badami 556054460,Halageri 054465986990
Karnataka,Bagalkot,Badami 556054460,Halakurki 054465986580
Karnataka,Bagalkot,Badami 556054460,Haligeri 054465986980
Karnataka,Bagalkot,Badami 556054460,Hanamaneri G 054465986550
Karnataka,Bagalkot,Badami 556054460,Hanamaneri Inam 054465986230
Karnataka,Bagalkot,Badami 556054460,Hanamasagar 054465987050
Karnataka,Bagalkot,Badami 556054460,Hanapur S P 054465986850
Karnataka,Bagalkot,Badami 556054460,Hangaragi 054465986620
Karnataka,Bagalkot,Badami 556054460,Hansanoor 054465986830
Karnataka,Bagalkot,Badami 556054460,Haradolli 054465986680
Karnataka,Bagalkot,Badami 556054460,Hawalakhod 054465986420
Karnataka,Bagalkot,Badami 556054460,Hebballi 054465987320
Karnataka,Bagalkot,Badami 556054460,Hirebudihal 054465986800
Karnataka,Bagalkot,Badami 556054460,Hiremuchalagudda 054465987340
Karnataka,Bagalkot,Badami 556054460,Hirenasabi 054465987540
Karnataka,Bagalkot,Badami 556054460,Hoolageri 054465986310
Karnataka,Bagalkot,Badami 556054460,Hosakoti 054465986370
Karnataka,Bagalkot,Badami 556054460,Hosur 054465987530
Karnataka,Bagalkot,Badami 556054460,Hulasageri 054465986600
Karnataka,Bagalkot,Badami 556054460,Hullikeri Inam 054465986570
Karnataka,Bagalkot,Badami 556054460,Hullikeri S P 054465986870
Karnataka,Bagalkot,Badami 556054460,Injanawari 054465986700
Karnataka,Bagalkot,Badami 556054460,Jakanur 054465987590
Karnataka,Bagalkot,Badami 556054460,Jalageri 054465986340
Karnataka,Bagalkot,Badami 556054460,Jalihal 054465987670
Karnataka,Bagalkot,Badami 556054460,Jammanakatti 054465986590
Karnataka,Bagalkot,Badami 556054460,Jangawad 054465986400
Karnataka,Bagalkot,Badami 556054460,Kabbalageri 054465987490
Karnataka,Bagalkot,Badami 556054460,Kadapatti S K 054465986560
Karnataka,Bagalkot,Badami 556054460,Kadarakoppa 054465986220
Karnataka,Bagalkot,Badami 556054460,Kagalagomba 054465986290
Karnataka,Bagalkot,Badami 556054460,Kainakatti 054465986380
Karnataka,Bagalkot,Badami 556054460,Kakanur 054465987080
Karnataka,Bagalkot,Badami 556054460,Kalabandakeri 054465986350
Karnataka,Bagalkot,Badami 556054460,Kalas 054465987290
Karnataka,Bagalkot,Badami 556054460,Kallapur S K 054465987060
Karnataka,Bagalkot,Badami 556054460,Karadigudd S A 054465986250
Karnataka,Bagalkot,Badami 556054460,Karadigudda S N 054465987020
Karnataka,Bagalkot,Badami 556054460,Karalakoppa 054465987220
Karnataka,Bagalkot,Badami 556054460,Katageri 054465986610
Karnataka,Bagalkot,Badami 556054460,Kataginahalli 054465986890
Karnataka,Bagalkot,Badami 556054460,Katapur 054465986950
Karnataka,Bagalkot,Badami 556054460,Katharaki 054465987620
Karnataka,Bagalkot,Badami 556054460,Kelawadi 054465986640
Karnataka,Bagalkot,Badami 556054460,Kendur 054465987380
Karnataka,Bagalkot,Badami 556054460,Kerakalamatti 054465986280
Karnataka,Bagalkot,Badami 556054460,Kerur Rural 054465986520
Karnataka,Bagalkot,Badami 556054460,Khanapur S K 054465987110
Karnataka,Bagalkot,Badami 556054460,Khanapur S P 054465986760
Karnataka,Bagalkot,Badami 556054460,Khazibudihal 054465986630
Karnataka,Bagalkot,Badami 556054460,Khyad 054465987630
