State,District,Taluka,Village
Kerala,Alappuzha,Ambalappuzha 598056740,Ambalappuzha 056746282290
Kerala,Alappuzha,Ambalappuzha 598056740,Aryad South Part 056746282270
Kerala,Alappuzha,Ambalappuzha 598056740,Kalavoor 056746282260
Kerala,Alappuzha,Ambalappuzha 598056740,Karumady 056746282300
Kerala,Alappuzha,Ambalappuzha 598056740,Mullakkal Part 056746282280
Kerala,Alappuzha,Ambalappuzha 598056740,Purakkad 056746282310
Kerala,Alappuzha,Chengannur 598056770,Ala Part 056776282720
Kerala,Alappuzha,Chengannur 598056770,Chengannur Part 056776282700
Kerala,Alappuzha,Chengannur 598056770,Cheriyanad 056776282740
Kerala,Alappuzha,Chengannur 598056770,Ennakkad 056776282670
Kerala,Alappuzha,Chengannur 598056770,Mulakuzha Part 056776282710
Kerala,Alappuzha,Chengannur 598056770,Pandanad Part 056776282680
Kerala,Alappuzha,Chengannur 598056770,Puliyoor Part 056776282730
Kerala,Alappuzha,Chengannur 598056770,Thiruvanvandoor 056776282690
Kerala,Alappuzha,Chengannur 598056770,Venmony 056776282750
Kerala,Alappuzha,Cherthala 598056730,Cherthala North Part 056736282110
Kerala,Alappuzha,Cherthala 598056730,Cherthala South Part 056736282120
Kerala,Alappuzha,Cherthala 598056730,Kadakkarappally 056736282100
Kerala,Alappuzha,Cherthala 598056730,Mararikkulam North 056736282130
Kerala,Alappuzha,Cherthala 598056730,Panavally 056736282070
Kerala,Alappuzha,Cherthala 598056730,Pattanakkad 056736282090
Kerala,Alappuzha,Cherthala 598056730,Perumbalam 056736282060
Kerala,Alappuzha,Cherthala 598056730,Thuravoor Thekku 056736282080
Kerala,Alappuzha,Karthikappally 598056760,Arattupuzha 056766282550
Kerala,Alappuzha,Karthikappally 598056760,Cheruthana 056766282510
Kerala,Alappuzha,Karthikappally 598056760,Karuvatta 056766282500
Kerala,Alappuzha,Karthikappally 598056760,Pallippad 056766282530
Kerala,Alappuzha,Karthikappally 598056760,Thrikkunnapuzha 056766282540
Kerala,Alappuzha,Karthikappally 598056760,Veeyapuram 056766282520
Kerala,Alappuzha,Kuttanad 598056750,Champakkulam 056756282440
Kerala,Alappuzha,Kuttanad 598056750,Edathua 056756282470
Kerala,Alappuzha,Kuttanad 598056750,Kainakary North 056756282360
Kerala,Alappuzha,Kuttanad 598056750,Kainakary South 056756282370
Kerala,Alappuzha,Kuttanad 598056750,Kavalam 056756282400
Kerala,Alappuzha,Kuttanad 598056750,Kunnumma 056756282390
Kerala,Alappuzha,Kuttanad 598056750,Muttar 056756282480
Kerala,Alappuzha,Kuttanad 598056750,Nedumudi 056756282450
Kerala,Alappuzha,Kuttanad 598056750,Neelamperoor 056756282410
Kerala,Alappuzha,Kuttanad 598056750,Pulinkunnu 056756282380
Kerala,Alappuzha,Kuttanad 598056750,Ramankary 056756282430
Kerala,Alappuzha,Kuttanad 598056750,Thakazhy 056756282460
Kerala,Alappuzha,Kuttanad 598056750,Thalavady 056756282490
Kerala,Alappuzha,Kuttanad 598056750,Veliyanad 056756282420
Kerala,Alappuzha,Mavelikkara 598056780,Chunakkara 056786282820
Kerala,Alappuzha,Mavelikkara 598056780,Noornad 056786282830
Kerala,Alappuzha,Mavelikkara 598056780,Palamel 056786282840
Kerala,Alappuzha,Mavelikkara 598056780,Perungala 056786282810
Kerala,Alappuzha,Mavelikkara 598056780,Thamarakkulam 056786282850
Kerala,Alappuzha,Mavelikkara 598056780,Thekkekara Part 056786282800
Kerala,Alappuzha,Mavelikkara 598056780,Thriperumthura 056786282780
Kerala,Alappuzha,Mavelikkara 598056780,Vallikunnam 056786282860
Kerala,Alappuzha,Mavelikkara 598056780,Vettiyar 056786282790
Kerala,Ernakulam,Aluva 595056580,Ayyampuzha 056586279670
Kerala,Ernakulam,Aluva 595056580,Karukutty 056586279650
Kerala,Ernakulam,Aluva 595056580,Malayattoor 056586279690
Kerala,Ernakulam,Aluva 595056580,Manjapra 056586279680
Kerala,Ernakulam,Aluva 595056580,Mookkannoor 056586279660
Kerala,Ernakulam,Aluva 595056580,Parakkadavu 056586279640
Kerala,Ernakulam,Aluva 595056580,Thuravoor 056586279700
Kerala,Ernakulam,Kanayannur 595056610,Edakkattuvayal 056616280030
Kerala,Ernakulam,Kanayannur 595056610,Kaippattur 056616280040
Kerala,Ernakulam,Kanayannur 595056610,Keecherry 056616280060
Kerala,Ernakulam,Kanayannur 595056610,Kulayettikara 056616280050
Kerala,Ernakulam,Kanayannur 595056610,Thrikkakara North Part 056616280020
Kerala,Ernakulam,Kochi 595056600,Chellanam 056606279970
Kerala,Ernakulam,Kochi 595056600,Edavanakkad 056606279950
Kerala,Ernakulam,Kochi 595056600,Kuzhuppilly 056606279930
Kerala,Ernakulam,Kochi 595056600,Nayarambalam 056606279960
Kerala,Ernakulam,Kochi 595056600,Pallippuram 056606279940
Kerala,Ernakulam,Kothamangalam 595056630,Kedavoor 056636280450
Kerala,Ernakulam,Kothamangalam 595056630,Keerampara 056636280420
Kerala,Ernakulam,Kothamangalam 595056630,Kottappady 056636280390
Kerala,Ernakulam,Kothamangalam 595056630,Kuttamangalam 056636280430
Kerala,Ernakulam,Kothamangalam 595056630,Kuttampuzha 056636280410
Kerala,Ernakulam,Kothamangalam 595056630,Neriamangalam 056636280440
Kerala,Ernakulam,Kothamangalam 595056630,Pindimana 056636280400
Kerala,Ernakulam,Kothamangalam 595056630,Pothanikkad 056636280460
Kerala,Ernakulam,Kothamangalam 595056630,Thrikkariyoor Part 056636280380
Kerala,Ernakulam,Kothamangalam 595056630,Varappetty 056636280470
Kerala,Ernakulam,Kunnathunad 595056570,Aikaranad North 056576279530
Kerala,Ernakulam,Kunnathunad 595056570,Aikaranad South 056576279540
Kerala,Ernakulam,Kunnathunad 595056570,Arakapady 056576279470
Kerala,Ernakulam,Kunnathunad 595056570,Asamannoor 056576279450
Kerala,Ernakulam,Kunnathunad 595056570,Irapuram 056576279480
Kerala,Ernakulam,Kunnathunad 595056570,Kizhakkambalam 056576279510
Kerala,Ernakulam,Kunnathunad 595056570,Kodanad 056576279410
Kerala,Ernakulam,Kunnathunad 595056570,Kombanad 056576279420
Kerala,Ernakulam,Kunnathunad 595056570,Mazhuvannoor 056576279490
Kerala,Ernakulam,Kunnathunad 595056570,Pattimattom 056576279500
Kerala,Ernakulam,Kunnathunad 595056570,Rayamangalam 056576279460
Kerala,Ernakulam,Kunnathunad 595056570,Thiruvaniyoor 056576279550
Kerala,Ernakulam,Kunnathunad 595056570,Vadavukode 056576279520
Kerala,Ernakulam,Kunnathunad 595056570,Vengoor 056576279430
Kerala,Ernakulam,Kunnathunad 595056570,Vengoor West 056576279440
Kerala,Ernakulam,Muvattupuzha 595056620,Arakuzha 056626280260
Kerala,Ernakulam,Muvattupuzha 595056620,Elanji 056626280360
Kerala,Ernakulam,Muvattupuzha 595056620,Enanalloor 056626280220
Kerala,Ernakulam,Muvattupuzha 595056620,Kalloorkkad 056626280230
Kerala,Ernakulam,Muvattupuzha 595056620,Koothattukulam 056626280350
Kerala,Ernakulam,Muvattupuzha 595056620,Maneed 056626280300
Kerala,Ernakulam,Muvattupuzha 595056620,Manjalloor 056626280240
Kerala,Ernakulam,Muvattupuzha 595056620,Marady Part 056626280270
Kerala,Ernakulam,Muvattupuzha 595056620,Memury 056626280280
Kerala,Ernakulam,Muvattupuzha 595056620,Mulavoor 056626280210
Kerala,Ernakulam,Muvattupuzha 595056620,Muvattupuzha Part 056626280250
Kerala,Ernakulam,Muvattupuzha 595056620,Onakkoor 056626280320
Kerala,Ernakulam,Muvattupuzha 595056620,Palakkuzha 056626280340
Kerala,Ernakulam,Muvattupuzha 595056620,Piravom 056626280310
Kerala,Ernakulam,Muvattupuzha 595056620,Ramamangalam 056626280290
Kerala,Ernakulam,Muvattupuzha 595056620,Thirumarady 056626280330
Kerala,Ernakulam,Muvattupuzha 595056620,Valakam 056626280200
Kerala,Ernakulam,Paravur 595056590,Ezhikkara 056596279820
Kerala,Ernakulam,Paravur 595056590,Kunnukara 056596279810
Kerala,Idukki,Devikulam 596056640,Anaviratty 056646280570
Kerala,Idukki,Devikulam 596056640,Kannan Devan Hills 056646280540
Kerala,Idukki,Devikulam 596056640,Kanthalloor 056646280510
Kerala,Idukki,Devikulam 596056640,Keezhanthoor 056646280500
Kerala,Idukki,Devikulam 596056640,Kottakamboor 056646280520
Kerala,Idukki,Devikulam 596056640,Kunjithanny 056646280590
Kerala,Idukki,Devikulam 596056640,Mankulam 056646280550
Kerala,Idukki,Devikulam 596056640,Mannamkandam 056646280560
Kerala,Idukki,Devikulam 596056640,Marayoor 056646280490
Kerala,Idukki,Devikulam 596056640,Pallivasal 056646280580
Kerala,Idukki,Devikulam 596056640,Vattavada 056646280530
Kerala,Idukki,Devikulam 596056640,Vellathuval 056646280600
Kerala,Idukki,Peerumade 596056670,Elappara 056676281050
Kerala,Idukki,Peerumade 596056670,Kokkayar 056676281060
Kerala,Idukki,Peerumade 596056670,Kumily 056676281100
Kerala,Idukki,Peerumade 596056670,Manjumala 056676281080
Kerala,Idukki,Peerumade 596056670,Mlappara 056676281110
Kerala,Idukki,Peerumade 596056670,Peerumade 056676281070
Kerala,Idukki,Peerumade 596056670,Periyar 056676281090
Kerala,Idukki,Peerumade 596056670,Peruvanthanam 056676281120
Kerala,Idukki,Peerumade 596056670,Upputhara 056676281040
Kerala,Idukki,Peerumade 596056670,Vagamon 056676281030
Kerala,Idukki,Thodupuzha 596056660,Alacode 056666280970
Kerala,Idukki,Thodupuzha 596056660,Arakkulam 056666281000
Kerala,Idukki,Thodupuzha 596056660,Elappally 056666281020
Kerala,Idukki,Thodupuzha 596056660,Idukki 056666280990
Kerala,Idukki,Thodupuzha 596056660,Kanjikuzhi 056666280870
Kerala,Idukki,Thodupuzha 596056660,Karikkode Part 056666280910
Kerala,Idukki,Thodupuzha 596056660,Karimannoor 056666280900
Kerala,Idukki,Thodupuzha 596056660,Karimkunnam Part 056666280950
Kerala,Idukki,Thodupuzha 596056660,Kodikulam 056666280850
Kerala,Idukki,Thodupuzha 596056660,Kudayathoor 056666281010
Kerala,Idukki,Thodupuzha 596056660,Kumaramangalam Part 056666280840
Kerala,Idukki,Thodupuzha 596056660,Manakkad Part 056666280930
Kerala,Idukki,Thodupuzha 596056660,Muttom 056666280960
Kerala,Idukki,Thodupuzha 596056660,Neyyasseri 056666280890
Kerala,Idukki,Thodupuzha 596056660,Purapuzha 056666280940
Kerala,Idukki,Thodupuzha 596056660,Thodupuzha Part 056666280920
Kerala,Idukki,Thodupuzha 596056660,Udumbannoor 056666280880
Kerala,Idukki,Thodupuzha 596056660,Vannapuram 056666280860
Kerala,Idukki,Thodupuzha 596056660,Velliyamattom 056666280980
Kerala,Idukki,Udumbanchola 596056650,Anakkara 056656280830
Kerala,Idukki,Udumbanchola 596056650,Anavilasam 056656280810
Kerala,Idukki,Udumbanchola 596056650,Ayyappancoil 056656280800
Kerala,Idukki,Udumbanchola 596056650,Baisonvally 056656280630
Kerala,Idukki,Udumbanchola 596056650,Chakkupallam 056656280820
Kerala,Idukki,Udumbanchola 596056650,Chathurangapara 056656280690
Kerala,Idukki,Udumbanchola 596056650,Chinnakanal 056656280640
Kerala,Idukki,Udumbanchola 596056650,Kalkoonthal 056656280740
Kerala,Idukki,Udumbanchola 596056650,Kanthippara 056656280670
Kerala,Idukki,Udumbanchola 596056650,Karunapuram 056656280770
Kerala,Idukki,Udumbanchola 596056650,Kattappana 056656280790
Kerala,Idukki,Udumbanchola 596056650,Konnathady 056656280610
