State,District,Taluka,Village
,Vill.Co.In,Maharashtra,Ahmadnagar
Vill.Co.In,Maharashtra,Ahmadnagar,Akola 522042010
Vill.Co.In,Maharashtra,Ahmadnagar,Jamkhed 522042140
Vill.Co.In,Maharashtra,Ahmadnagar,Karjat 522042130
Vill.Co.In,Maharashtra,Ahmadnagar,Kopargaon 522042030
Vill.Co.In,Maharashtra,Ahmadnagar,Nagar 522042090
Vill.Co.In,Maharashtra,Ahmadnagar,Nevasa 522042060
Vill.Co.In,Maharashtra,Ahmadnagar,Parner 522042110
Vill.Co.In,Maharashtra,Ahmadnagar,Pathardi 522042080
Vill.Co.In,Maharashtra,Ahmadnagar,Rahta 522042040
Vill.Co.In,Maharashtra,Ahmadnagar,Rahuri 522042100
Vill.Co.In,Maharashtra,Ahmadnagar,Sangamner 522042020
Vill.Co.In,Maharashtra,Ahmadnagar,Shevgaon 522042070
Vill.Co.In,Maharashtra,Ahmadnagar,Shrigonda 522042120
Vill.Co.In,Maharashtra,Ahmadnagar,Shrirampur 522042050
Vill.Co.In,Maharashtra,Ahmadnagar,Akola 522042010
Maharashtra,Ahmadnagar,Akola 522042010,Abit Khind 042015572930
Maharashtra,Ahmadnagar,Akola 522042010,Agar 042015572380
Maharashtra,Ahmadnagar,Akola 522042010,Agastinagar 042015572490
Maharashtra,Ahmadnagar,Akola 522042010,Akola 042015572480
Maharashtra,Ahmadnagar,Akola 522042010,Ambad 042015572530
Maharashtra,Ahmadnagar,Akola 522042010,Ambevangan 042015571400
Maharashtra,Ahmadnagar,Akola 522042010,Ambhol 042015572820
Maharashtra,Ahmadnagar,Akola 522042010,Ambikanagar 042015572250
Maharashtra,Ahmadnagar,Akola 522042010,Ambit 042015571900
Maharashtra,Ahmadnagar,Akola 522042010,Aurangpur 042015572520
Maharashtra,Ahmadnagar,Akola 522042010,Babhul Wandi 042015571340
Maharashtra,Ahmadnagar,Akola 522042010,Badgi 042015573150
Maharashtra,Ahmadnagar,Akola 522042010,Bahirwadi 042015572280
Maharashtra,Ahmadnagar,Akola 522042010,Balthan 042015571800
Maharashtra,Ahmadnagar,Akola 522042010,Baravwadi 042015571820
Maharashtra,Ahmadnagar,Akola 522042010,Bari 042015571270
Maharashtra,Ahmadnagar,Akola 522042010,Belapur 042015573110
Maharashtra,Ahmadnagar,Akola 522042010,Bhandardara 042015571620
Maharashtra,Ahmadnagar,Akola 522042010,Bhojadarawadi 042015571690
Maharashtra,Ahmadnagar,Akola 522042010,Bholewadi 042015572840
